fecha,indicativo,nombre,provincia,lat,lon,tmax,tmin,tmed,prec,racha,velmedia
2025-01-01,ALM01,ESTACION_ALMERIA_1,ALMERIA,36.7491,-2.2464,24.5,13.2,18.8,0.0,19.3,6.9
2025-01-02,ALM01,ESTACION_ALMERIA_1,ALMERIA,36.7491,-2.2464,22.9,11.5,17.2,0.4,36.6,8.7
2025-01-03,ALM01,ESTACION_ALMERIA_1,ALMERIA,36.7491,-2.2464,15.7,3.6,9.6,2.1,33.1,8.9
2025-01-04,ALM01,ESTACION_ALMERIA_1,ALMERIA,36.7491,-2.2464,18.1,8.8,13.4,5.6,10.8,4.3
2025-01-05,ALM01,ESTACION_ALMERIA_1,ALMERIA,36.7491,-2.2464,13.8,2.4,8.1,1.3,37.2,6.0
2025-01-06,ALM01,ESTACION_ALMERIA_1,ALMERIA,36.7491,-2.2464,19.9,7.3,13.6,0.0,16.9,3.9
2025-01-07,ALM01,ESTACION_ALMERIA_1,ALMERIA,36.7491,-2.2464,12.4,5.8,9.1,3.7,34.1,5.2
2025-01-08,ALM01,ESTACION_ALMERIA_1,ALMERIA,36.7491,-2.2464,24.0,13.6,18.8,2.0,34.2,13.8
2025-01-09,ALM01,ESTACION_ALMERIA_1,ALMERIA,36.7491,-2.2464,12.2,6.1,9.2,0.0,34.5,13.3
2025-01-10,ALM01,ESTACION_ALMERIA_1,ALMERIA,36.7491,-2.2464,12.2,2.1,7.1,0.0,22.5,5.7
2025-01-11,ALM01,ESTACION_ALMERIA_1,ALMERIA,36.7491,-2.2464,11.9,3.6,7.7,0.5,25.6,11.4
2025-01-12,ALM01,ESTACION_ALMERIA_1,ALMERIA,36.7491,-2.2464,21.4,6.7,14.1,2.2,38.9,6.0
2025-01-13,ALM01,ESTACION_ALMERIA_1,ALMERIA,36.7491,-2.2464,16.5,8.5,12.5,1.2,11.5,6.3
2025-01-14,ALM01,ESTACION_ALMERIA_1,ALMERIA,36.7491,-2.2464,21.2,13.8,17.5,8.4,14.3,8.9
2025-01-15,ALM01,ESTACION_ALMERIA_1,ALMERIA,36.7491,-2.2464,22.2,14.8,18.5,4.4,17.1,11.7
2025-01-16,ALM01,ESTACION_ALMERIA_1,ALMERIA,36.7491,-2.2464,18.1,6.8,12.4,3.3,29.0,9.4
